0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:19:37 +0530] "GET /ManuringIt/Sales HTTP/1.1" 200 7211
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:19:40 +0530] "POST /ManuringIt/UpdateSales HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:19:40 +0530] "GET /ManuringIt/Sales HTTP/1.1" 200 7218
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:19:42 +0530] "GET /ManuringIt/landingPage.jsp HTTP/1.1" 200 3286
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:19:42 +0530] "GET /header_menu.html HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:20:53 +0530] "GET /ManuringIt/ref1.jsp HTTP/1.1" 200 1469
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:21:39 +0530] "GET /ManuringIt/ref2.jsp HTTP/1.1" 200 1545
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:21:58 +0530] "GET /ManuringIt/Sales HTTP/1.1" 200 7218
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:21:59 +0530] "GET /ManuringIt/FarmInput HTTP/1.1" 200 5261
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:22:00 +0530] "GET /ManuringIt/Harvesting HTTP/1.1" 200 4411
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:22:01 +0530] "GET /ManuringIt/FarmInput HTTP/1.1" 200 5261
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:22:03 +0530] "GET /ManuringIt/Harvesting HTTP/1.1" 200 4411
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:22:03 +0530] "GET /ManuringIt/Sowing HTTP/1.1" 200 5507
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:22:04 +0530] "GET /ManuringIt/landingPage.jsp HTTP/1.1" 200 3286
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:22:04 +0530] "GET /header_menu.html HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:12:45 +0530] "GET /ManuringIt/ HTTP/1.1" 200 3128
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:12:45 +0530] "GET /ManuringIt/css/images/background.jpg HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:13:06 +0530] "POST /ManuringIt/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:13:06 +0530] "GET /ManuringIt/landingPage.jsp HTTP/1.1" 200 3278
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:13:06 +0530] "GET /header_menu.html HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:13:08 +0530] "POST /ManuringIt/landPage HTTP/1.1" 200 9532
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:14:03 +0530] "POST /ManuringIt/landPage HTTP/1.1" 200 9532
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:14:16 +0530] "POST /ManuringIt/reg.jsp HTTP/1.1" 200 11710
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:14:32 +0530] "POST /ManuringIt/reg.jsp HTTP/1.1" 200 12617
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:14:49 +0530] "POST /ManuringIt/Reg HTTP/1.1" 200 3286
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:14:49 +0530] "GET /header_menu.html HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:14:52 +0530] "POST /ManuringIt/landPage HTTP/1.1" 200 9532
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:15:13 +0530] "POST /ManuringIt/reg.jsp HTTP/1.1" 200 20462
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:15:23 +0530] "POST /ManuringIt/Reg HTTP/1.1" 200 3286
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:15:23 +0530] "GET /header_menu.html HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:15:24 +0530] "POST /ManuringIt/CropSelect HTTP/1.1" 200 25647
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:16:05 +0530] "POST /ManuringIt/RegComp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:16:05 +0530] "GET /ManuringIt/landingPage.jsp HTTP/1.1" 200 3286
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:16:05 +0530] "GET /header_menu.html HTTP/1.1" 404 1089
